
2022/03/29 (21:30:22) | ===> btop++ v.1.2.2
2022/03/29 (21:30:22) | WARNING: Failed to set locale en_CA.UTF-8.UTF-8 continuing anyway.

2022/03/29 (21:31:17) | ===> btop++ v.1.2.2
2022/03/29 (21:31:17) | WARNING: Failed to join _runner thread on exit!

2022/03/29 (21:33:45) | ===> btop++ v.1.2.2
2022/03/29 (21:33:45) | WARNING: Failed to join _runner thread on exit!

2022/03/29 (21:36:32) | ===> btop++ v.1.2.2
2022/03/29 (21:36:32) | WARNING: Failed to join _runner thread on exit!

2022/03/29 (21:39:42) | ===> btop++ v.1.2.2
2022/03/29 (21:39:42) | WARNING: Failed to join _runner thread on exit!

2022/03/29 (21:41:37) | ===> btop++ v.1.2.2
2022/03/29 (21:41:37) | WARNING: Failed to join _runner thread on exit!

2022/03/30 (18:34:20) | ===> btop++ v.1.2.2
2022/03/30 (18:34:20) | WARNING: Failed to join _runner thread on exit!
